value,df,idf,tf_idf
5,294,5.763910800193139,0
best,94,6.897009264932418,0
joins,4,9.841448244098858,0
practices,11,8.965979506744958,0
priyankab14,3,10.064591795413069,0
sql,246,5.941497819904982,0
writing,42,7.689686040839397,0
css,249,5.929425238670713,0
dropdown,10,9.052990883734589,0
foundation,3,10.064591795413069,0
ishankhandelwals,1,10.757738975973014,0
menu,24,8.232010331664759,0
20,59,7.356541594310858,0
excel,83,7.020069357689645,0
know,39,7.762006702419023,0
need,26,8.15504929052863,0
shortcuts,7,9.371444614853123,0
top,211,6.094299881860946,0
fetching,4,9.841448244098858,0
nishatiwari1719,1,10.757738975973014,0
result,17,8.560514398636794,0
servlet,9,9.148301063538913,0
–,1635,4.050876639370267,0
array,2191,3.758316508465053,0
rohit768,2,10.352273867864849,0
suffix,42,7.689686040839397,0
sum,1524,4.121136467491446,0
celsius,4,9.841448244098858,0
formula,21,8.359843703174644,0
kelvin,2,10.352273867864849,0
ramneek2307,2,10.352273867864849,0
install,101,6.825913343248688,0
mongodb,49,7.538863151104813,0
vscode?,1,10.757738975973014,0
2022,85,6.996538860279451,0
7,229,6.012806847609764,0
freelancers,1,10.757738975973014,0
highest,29,8.049688774870804,0
languages,43,7.666696522614698,0
paying,8,9.25366157919674,0
programming,309,5.714313859053767,0
vanshika4042,18,8.506447177366518,0
builder,4,9.841448244098858,0
create,435,5.3732439131839245,0
free,51,7.499642437951532,0
geeksforgeeks,11980,2.05980881589306,0
online,60,7.340012292359647,0
resume,9,9.148301063538913,0
8,195,6.172771497302442,0
improve,6,9.504976007477646,0
javascript,500,5.234280055448094,0
prateekjangid10,1,10.757738975973014,0
skills,22,8.31539194060381,0
tips,66,7.246193537141993,0
binary,931,4.613553341847368,0
gursimar04,1,10.757738975973014,0
inorder,27,8.118681646357755,0
iterator,22,8.31539194060381,0
traversal,116,6.688712221735202,0
tree,778,4.7928751106622105,0
1st,10,9.052990883734589,0
capitalize,4,9.841448244098858,0
character,218,6.061814426716458,0
characters,341,5.616075419470354,0
durgeshsahu7,3,10.064591795413069,0
k,897,4.65071608823076,0
