value,df,idf,tf_idf
5,294,5.763910800193139,0.8234158285990199
best,94,6.897009264932418,0.9852870378474883
joins,4,9.841448244098858,1.4059211777284082
practices,11,8.965979506744958,1.2808542152492797
priyankab14,3,10.064591795413069,1.4377988279161527
sql,246,5.941497819904982,0.8487854028435688
writing,42,7.689686040839397,1.0985265772627708
css,249,5.929425238670713,1.1858850477341425
dropdown,10,9.052990883734589,1.810598176746918
foundation,3,10.064591795413069,2.012918359082614
ishankhandelwals,1,10.757738975973014,2.151547795194603
menu,24,8.232010331664759,1.6464020663329517
20,59,7.356541594310858,1.0509345134729797
excel,83,7.020069357689645,1.0028670510985207
know,39,7.762006702419023,1.1088581003455746
need,26,8.15504929052863,1.16500704150409
shortcuts,7,9.371444614853123,1.4377988279161527
top,211,6.094299881860946,1.3387778021218748
fetching,4,9.841448244098858,0.870614268837278
nishatiwari1719,1,10.757738975973014,1.9682896488197716
result,17,8.560514398636794,2.151547795194603
servlet,9,9.148301063538913,1.712102879727359
–,1635,4.050876639370267,1.8296602127077826
array,2191,3.758316508465053,0.8101753278740533
rohit768,2,10.352273867864849,0.9395791271162632
suffix,42,7.689686040839397,2.588068466966212
sum,1524,4.121136467491446,1.9224215102098492
celsius,4,9.841448244098858,1.0302841168728616
formula,21,8.359843703174644,2.4603620610247146
kelvin,2,10.352273867864849,2.089960925793661
ramneek2307,2,10.352273867864849,2.588068466966212
install,101,6.825913343248688,2.588068466966212
mongodb,49,7.538863151104813,1.706478335812172
vscode?,1,10.757738975973014,1.8847157877762033
2022,85,6.996538860279451,2.588068466966212
7,229,6.012806847609764,2.6894347439932536
freelancers,1,10.757738975973014,0.8745673575349314
highest,29,8.049688774870804,0.7516008559512205
languages,43,7.666696522614698,1.3447173719966268
paying,8,9.25366157919674,1.0062110968588505
programming,309,5.714313859053767,0.9583370653268373
vanshika4042,18,8.506447177366518,1.1567076973995924
builder,4,9.841448244098858,0.7142892323817209
create,435,5.3732439131839245,1.0633058971708147
free,51,7.499642437951532,1.4059211777284082
geeksforgeeks,11980,2.05980881589306,0.7676062733119892
online,60,7.340012292359647,1.071377491135933
resume,9,9.148301063538913,0.29425840227043715
8,195,6.172771497302442,0.29425840227043715
improve,6,9.504976007477646,1.0485731846228068
javascript,500,5.234280055448094,1.3069001519341303
prateekjangid10,1,10.757738975973014,0.8818244996146345
skills,22,8.31539194060381,0.9852870378474883
tips,66,7.246193537141993,1.3578537153539494
binary,931,4.613553341847368,0.747754293635442
gursimar04,1,10.757738975973014,1.5368198537104305
inorder,27,8.118681646357755,1.1879131343719729
iterator,22,8.31539194060381,1.035170505305999
traversal,116,6.688712221735202,0.7689255569745612
tree,778,4.7928751106622105,1.7929564959955022
1st,10,9.052990883734589,1.3531136077262924
capitalize,4,9.841448244098858,1.3858986567673015
character,218,6.061814426716458,1.1147853702892003
characters,341,5.616075419470354,0.7988125184437017
durgeshsahu7,3,10.064591795413069,1.1316238604668236
k,897,4.65071608823076,1.2301810305123573
least,121,6.646865111799703,0.7577268033395572
words,109,6.750405790740543,0.7020094274337942
consecutive,174,6.286100182609445,1.2580739744266336
increasing,130,6.5756888333318075,0.581339511028845
longest,317,5.688834773752782,0.8308581389749629
pka5667,1,10.757738975973014,0.8438007238425679
set-2,58,7.373348712627239,0.8980143118013493
subsequence,211,6.094299881860946,0.939384119047401
|,8509,2.4018889349655392,0.8126906819646831
2,875,4.675520065596567,1.5368198537104305
maximum,896,4.651830294474163,1.0533355303753198
minimize,149,6.440250862436703,0.870614268837278
numbers,927,4.617854423746758,0.34312699070936276
pranjuldwivedi120568,1,10.757738975973014,0.38962667213304725
product,297,5.753792670027554,0.3131930423720877
set,3131,3.401459099422265,0.38765252453951354
swaps,49,7.538863151104813,0.5366875718697253
two,969,4.57359008503553,0.38482120197889647
using,2507,3.6236452547801474,0.8964782479977511
don’ts,2,10.352273867864849,0.4794827225022962
do’s,2,10.352273867864849,0.2834549249518554
ishasharma9,2,10.352273867864849,0.6282385959254011
self-taught,3,10.064591795413069,0.38113250708629415
calculate,115,6.697295965426594,0.3019704378983456
decomposition,16,8.617672812476743,0.20015741124712827
diagonal,27,8.118681646357755,2.07045477357297
elements,1107,4.440574289225729,2.07045477357297
l-shape,1,10.757738975973014,2.07045477357297
matrix,473,5.289678834837883,1.1428627718107536
prophet1999,11,8.965979506744958,2.012918359082614
removing,102,6.816157168303323,0.7441439961585105
count,1156,4.397300429339282,0.9575192013863046
given,2091,3.8050103313481456,0.902075738484195
manishguptagkp06,2,10.352273867864849,0.4933971432473032
palindromic,91,6.929097579483919,1.1953043306636681
rows,68,7.2167796519357,0.5877420927597647
equal,479,5.277100052631022,0.9962199451938841
find,1640,4.0478250654428685,0.757350796478147
less,110,6.741355955220625,0.45790405194349404
mayank007rawa,2,10.352273867864849,0.7328834048898802
ayonssp,1,10.757738975973014,0.6341683885580243
linux?,37,7.813299996806573,1.7253789779774746
mysql,82,7.032045548736361,0.8816131391396471
difference,1220,4.343460682422254,1.1548495965806531
even,250,5.925433217401175,1.2027966086559498
leaf,72,7.160426715384568,0.4175907231627836
level,109,6.750405790740543,0.4933971432473032
odd,205,6.1230099877433775,0.5863444502923357
vineetsharma36,2,10.352273867864849,0.44975834060476316
based,138,6.516412223402267,0.4227789257053495
coding,98,6.855766306398369,0.51674623202564
companies,21,8.359843703174644,0.7490395505800694
must,37,7.813299996806573,1.1502526519849832
questions,143,6.481072856956958,0.45790405194349404
jsp,9,9.148301063538913,2.6894347439932536
page?,3,10.064591795413069,1.706478335812172
rajkumbaji3707,1,10.757738975973014,1.9533249992016433
1,881,4.668694100526167,1.7580113871840903
2×2,2,10.352273867864849,0.4613553341847368
harshdeepmahajan88,12,8.885936799071423,0.43434606824222544
reduce,56,7.4078348886984084,0.5925433217401176
size,251,5.921457069021535,0.3805010331348146
submatrices,13,8.8118288269177,0.7160426715384568
cs,448,5.343863268790705,0.6750405790740543
gate,923,4.622174084891275,0.6750405790740543
india,44,7.644223666762639,0.6123009987743377
mock,43,7.666696522614698,0.41211364674914464
test,86,6.984978037878375,0.4792875110662211
.,8,9.25366157919674,0.9309160319146096
"11,",4,9.841448244098858,0.9793951866283384
"19,",1,10.757738975973014,1.1942633861678063
"29,",2,10.352273867864849,0.29425840227043715
"41,",2,10.352273867864849,1.1161857138295104
"5,",4,9.841448244098858,0.8219703814325077
first,351,5.587254980934862,0.9258675509938511
lucidcoder121,1,10.757738975973014,3.049433687846304
n,817,4.744023819930211,3.3548639318043563
series,156,6.394640351184651,3.5859129919910044
terms,29,8.049688774870804,0.46686941005261673
2021,435,5.3732439131839245,1.035227386786485
amazon,686,4.91855186431061,0.3805010331348146
experience,3852,3.1942788119068015,0.8885936799071423
internship,427,5.391762960951162,0.5289678834837883
interview,4321,3.0794126194661278,0.7407834888698409
wow,12,8.885936799071423,0.5921457069021535
distances,17,8.560514398636794,0.8811828826917701
element,664,4.9510991158771045,0.41211364674914464
hamming,13,8.8118288269177,0.3623645254780148
minimised,1,10.757738975973014,0.7773932066977168
siddharthsinghvats,1,10.757738975973014,0.5937625854211894
refertoyash,3,10.064591795413069,0.8332936042168368
repeated,61,7.323751771487867,0.5135748983212527
subsets,91,6.929097579483919,0.22886764621034
unique,104,6.796925806375436,0.22886764621034
adjacent,165,6.338898368176416,0.8493581851958487
frequency,111,6.732387285237865,0.8518551691794108
print,626,5.009939615900038,0.8518551691794108
repeating,33,7.924525631916797,0.7118201214766723
sourabhnaikssj,5,9.659126687304903,0.7118201214766723
string,1305,4.276161846696583,0.7118201214766723
major,12,8.885936799071423,0.7570344803152969
recruitment,41,7.713216538249591,0.827518382767155
trends,10,9.052990883734589,0.7963287590665269
watch,3,10.064591795413069,0.7963287590665269
yuvraj10,5,9.659126687304903,0.7570344803152969
bulma,5,9.659126687304903,0.31137115888022066
select,57,7.39044314598654,0.4297888446872971
sizes,15,8.678297434293178,0.827518382767155
vpsop,4,9.841448244098858,0.3649249092254009
8-12,1,10.757738975973014,0.49189541162958855
bi-wizard,1,10.757738975973014,0.7676062733119892
class,440,5.361841281086113,0.7026502663300871
school,7,9.371444614853123,0.45632554455811447
students,31,7.985150253733233,0.29425840227043715
tournament,6,9.504976007477646,0.7702518515644516
adobe,86,6.984978037878375,0.43991608849516106
misbahanjumn,1,10.757738975973014,1.269419542724489
shecodes,2,10.352273867864849,0.4175907231627836
(on-campus),700,4.898378269498369,0.9511682665151993
groww,3,10.064591795413069,0.550122123986345
krishrustagi,2,10.352273867864849,0.44975834060476316
ase,4,9.841448244098858,0.9790920918797444
deepakyadav9,1,10.757738975973014,0.51674623202564
health,25,8.192789618511476,0.51674623202564
legato,1,10.757738975973014,1.1953043306636681
on-campus,509,5.2164754308145875,1.1953043306636681
technologies,63,7.292003073173287,0.6281857756198974
?,905,4.64184685048998,0.6343677556036756
amansingla,30,8.016898952047812,1.4377988279161527
execute,11,8.965979506744958,1.0462502530696953
multiple,190,6.198612728486329,0.485922728488895
promises,3,10.064591795413069,0.989871082783417
sequentially,2,10.352273867864849,0.9709894009107765
cell,34,7.895538095043546,0.792362296022052
cost,128,6.591073752171287,0.7020094274337942
dekay,17,8.560514398636794,0.8415484106547331
"horizontal,",1,10.757738975973014,0.4756262914185182
moves,43,7.666696522614698,0.6262424519875047
reach,105,6.787447062420892,0.9905657039895996
vertical,40,7.737314089828651,1.207390835913113
ambiguity,7,9.371444614853123,0.5345202308370729
ambiguous,5,9.659126687304903,0.999505551468493
c++,1182,4.375077292554572,0.8589724068013949
call,39,7.762006702419023,1.269419542724489
error:,2,10.352273867864849,1.1018880768927986
function,733,4.8523771279184436,1.293284411962084
overloaded,6,9.504976007477646,1.4377988279161527
overloading,52,7.480594242980837,1.3798752410435575
sathiyamoorthics19,2,10.352273867864849,2.414781671826226
‘function(x)’,1,10.757738975973014,1.847610786496635
convention,2,10.352273867864849,2.1695743585732945
devaciusaboveall789456,1,10.757738975973014,2.4603620610247146
naming,3,10.064591795413069,1.1953043306636681
2nd,9,9.148301063538913,1.1953043306636681
ascending,21,8.359843703174644,0.5957601423429014
descending,25,8.192789618511476,0.761751811822041
nishithjbaravkar,1,10.757738975973014,0.22886764621034
pairs,357,5.570353170132258,0.22886764621034
sorting,107,6.76875492940874,1.0412716238725692
vector,105,6.787447062420892,0.8872389170814703
large,81,7.044166909268705,1.056108445275294
navihere,2,10.352273867864849,0.8955406521973207
sorted,244,5.949627945988232,1.1641630063130624
arrays,243,5.9537179312397575,0.5323798019844669
conditions,56,7.4078348886984084,0.5132354365776879
left,95,6.886537965065123,1.7929564959955022
maximize,198,6.1575813318084665,1.7253789779774746
reducing,21,8.359843703174644,0.8163963782497281
